,0,1,2,3,4,5,6,7,8
bucharest,-0.09022837538409421,-0.14877021457667033,-0.17997218486962718,-0.9569132417229147,0.1315345296235894,0.011053889745536845,0.004940394663872397,-0.0030163655458881815,0.0
budapest,0.9112240240571496,-0.2166313463560086,-0.16393019168885778,0.22927861959626802,0.16727135458565726,-0.04633975378831626,0.07016500363844995,0.06577519924415187,0.0
czech,0.971479974830031,0.020022038715899755,-0.19152013419252148,-0.05360048011612467,0.07852029962868251,0.047392270837401614,-0.023429933467174122,-0.053675296651587864,0.0
hungary,-0.6516066783581388,0.11177669706857232,-0.36665994389099016,-0.37829403764697256,0.3559422489268665,0.3919777355145067,0.02996982704772245,-0.01689130209479914,0.0
italy,-0.08758185475684596,-0.579433055142205,0.7331930408856271,0.08003024193571265,-0.3107471492946245,-0.07494811542495446,-0.07141952532855275,0.04865913336361054,0.0
lisbon,-0.18215074740280274,-0.33938347162338356,0.09066357644058023,0.13263907639894618,-0.905170537154286,-0.023785827084864496,-0.03715864140252931,-0.00015549234647050964,0.0
portugal,-0.08955288384586187,0.9574125198303,-0.014292004446389266,0.08194303867199965,0.16448331638230496,-0.14190019028256456,-0.10067760180647656,0.07979686603520085,0.0
prague,-0.5909682203907745,-0.27743937781709166,-0.402745059085246,0.27225842689902147,0.471155818432234,0.33328199696706695,-0.019057991833088428,0.010588991909793921,0.0
romania,0.6025170220343894,0.026242923945640477,-0.3032847735218951,0.5533674725601796,0.258989020344513,0.013476096524043166,0.4075456692648766,-0.002584085740274321,0.0
rome,-0.059773165532660204,0.9634939458326502,0.13367020682453604,0.09187325314557036,0.0884510986299155,0.12229045288156429,0.09623482210756582,-0.0804767856855467,0.0
vatican,-0.20658589514406636,0.23708530581231507,0.9385702872375569,0.12557074663237855,-0.012411545550573364,-0.020344220568551064,-0.013014363821368943,-0.022150965221987697,0.0
