,Communalities
bucharest,0.9962699013686507
budapest,1.0028242801343223
czech,0.9228063310875966
hungary,0.987979785427739
italy,0.9970564679691017
lisbon,0.990266242877019
portugal,0.9953841678085098
prague,0.9896648294559953
romania,0.8732264790849968
rome,0.9994383233327042
vatican,0.9974100564516204
