,0,1,2,3,4,5,6,7,8
bucharest,-0.2349620184425553,0.030586357793494494,0.9335286503623079,-0.13107187009140375,0.1339423047350535,-0.18142029542653804,-0.024918633286604253,-0.017225729579426904,0.0
budapest,-0.2980373439404693,0.8526310494615704,-0.2603307616642117,-0.13854020598613914,0.2067666964136467,0.20665381384686135,-0.02480557030468436,0.0815089631910552,0.0
czech,0.17660380038699075,0.9422388400220505,0.018883150486126783,-0.239419383456816,0.07370475630209136,0.08926205548245175,-0.04602491438091281,-0.0593916410740126,0.0
hungary,0.21985069055953532,-0.28260703376846863,0.804994008322365,0.44979296365577787,0.06852255487637272,-0.11112607604075404,-0.007469654341476468,0.02029398789829863,0.0
italy,-0.6836399301689107,-0.17646502955781335,-0.07035424698782619,-0.21899714658924072,-0.14469364311323588,-0.28908633604507655,0.5827081375114416,0.0021113223653979134,0.0
lisbon,-0.3355056851509699,-0.2965874986048669,-0.2224599868587262,-0.2588376448585419,-0.804401513538542,-0.16381933677679403,0.06797967167631229,-0.000506969439567823,0.0
portugal,0.8867484531503956,-0.08573068346288817,-0.09650567113123168,-0.146720003601632,0.2770548751200137,-0.16224038897702686,-0.25138249615030495,0.07315968016956086,0.0
prague,-0.1828916901211313,-0.3203903338658471,0.047835778043123424,0.9085085568993498,0.16917743400636415,0.004275524792657697,-0.06145569438812856,-0.002539086680344918,0.0
romania,0.1280082418162828,0.3209936357903842,-0.4741537198078105,-0.018530585674384127,0.16771792965312707,0.7820906216089997,-0.10598967119762945,-0.0017305305950169655,0.0
rome,0.9907959745889119,0.010600292382603857,-0.02134192450397904,-0.054188972463886056,0.046197928148972896,0.09748669405268075,0.01790274793076172,-0.026356658678980117,0.0
vatican,0.9913823530531946,-0.0072935211958125926,-0.03558864884791976,-0.04441413148516745,0.04057962580646401,0.09255881817878488,0.024332411048996378,-0.029219676216109897,0.0
