,Communalities
bucharest,1.002143784293805
budapest,1.0005046867911005
czech,0.9791125361457598
hungary,0.9973880158962105
italy,0.7173910035323313
lisbon,0.752237725645959
portugal,1.0110617330709695
prague,1.004631057663368
romania,1.0073466164468754
rome,0.988531762807004
vatican,0.984392836402757
