,0,1,2,3,4,5,6,7,8
bucharest,-0.23800725699773487,0.9280728115737041,0.013700725921930779,0.16999017800189312,0.13219572293961185,-0.17052487672837674,-0.0007023009562124879,-0.04732940903153509,0.0
budapest,-0.2943311747857064,-0.30236291615882854,0.8271214350508449,0.17064418652013147,0.21470999481630215,0.2154987134125171,0.032843663721356546,0.10219527782548223,0.0
czech,0.18743482395511807,-0.007835329711051536,0.9401527492813736,0.23277025931236567,0.07799821111249274,0.07766242530190351,0.07556471323222576,-0.06795737211944022,0.0
hungary,0.1845032283705691,0.8656839257969903,-0.24961188483049954,-0.35878272033139125,0.08804829424096429,-0.089838907405166,0.049847062244459825,0.05277099180812996,0.0
italy,-0.6000281368568446,-0.05925013161293076,-0.17744897797521678,0.1806228722274281,-0.13815768943940368,-0.22010567796901023,-0.7074243415776669,0.0021935494618680177,0.0
lisbon,-0.3050271804183398,-0.21038036924925227,-0.2442775367735874,0.20568209257819536,-0.8530199206250599,-0.141215655063436,-0.09349502115409658,-0.0007037951550567252,0.0
portugal,0.8322843714266117,-0.1211069101118098,-0.12255125847497705,0.1567912106929946,0.3020097530325773,-0.2312047169575054,0.3197728730862679,0.050414783145271196,0.0
prague,-0.1425004232868749,0.06170505292974008,-0.3582590091874572,-0.897946959960542,0.1666053059246572,-0.046235114338744075,0.08394798107988359,-0.00159465196138796,0.0
romania,0.12040512289511417,-0.48641840325526176,0.31203427383845356,0.08381240169697605,0.18735538005961144,0.7604098749812099,0.16458667650862144,3.454727552323345e-05,0.0
rome,0.9874732207949322,-0.006691659578509385,0.037761184632510505,0.03720215132712047,0.07226732660350221,0.10343424842683285,0.06010489846380593,-0.015119555562588578,0.0
vatican,0.9896866651192072,-0.02698742159489027,0.021323722068253097,0.025005665533785127,0.06489624481959308,0.09593968524929183,0.05209455487711002,-0.016358334528805644,0.0
